"ref_date","geo","dguid","building_type","total"
2020,"North Grenville, Municipality, Ontario","3507065","Row",9
2020,"North Grenville, Municipality, Ontario","3507065","Single",144
2020,"North Hatley, Village, Quebec","2445050","Apartment",0
2020,"North Hatley, Village, Quebec","2445050","Single",0
2020,"North Huron, Township, Ontario","3540055","Apartment",0
2020,"North Huron, Township, Ontario","3540055","Row",0
2020,"North Huron, Township, Ontario","3540055","Single",0
2020,"North Kawartha, Township, Ontario","3515037","Cottage",11
2020,"North Kawartha, Township, Ontario","3515037","Single",9
2020,"North Lake, Parish, New Brunswick","1310008","Apartment",1
2020,"North Lake, Parish, New Brunswick","1310008","Cottage",3
2020,"North Lake, Parish, New Brunswick","1310008","Mobile",1
2020,"North Lake, Parish, New Brunswick","1310008","Single",1
2020,"North Middlesex, Municipality, Ontario","3539041","Row",0
2020,"North Middlesex, Municipality, Ontario","3539041","Single",0
2020,"North Norfolk, Municipality, Manitoba","4608046","Single",12
2020,"North Okanagan B, Regional district electoral area, British Columbia","5937017","Apartment",14
2020,"North Okanagan B, Regional district electoral area, British Columbia","5937017","Cottage",5
2020,"North Okanagan B, Regional district electoral area, British Columbia","5937017","Mobile",4
2020,"North Okanagan B, Regional district electoral area, British Columbia","5937017","Single",41
2020,"North Perth, Municipality, Ontario","3531040","Apartment",94
2020,"North Perth, Municipality, Ontario","3531040","Duplex",11
2020,"North Perth, Municipality, Ontario","3531040","Mobile",0
2020,"North Perth, Municipality, Ontario","3531040","Row",46
2020,"North Perth, Municipality, Ontario","3531040","Single",88
2020,"North Qu'Appelle No. 187, Rural municipality, Saskatchewan","4706048","Cottage",0
2020,"North Qu'Appelle No. 187, Rural municipality, Saskatchewan","4706048","Single",0
2020,"North River, Town, Newfoundland and Labrador","1001426","Single",0
2020,"North Rustico, Town, Prince Edward Island","1102046","Apartment",8
2020,"North Rustico, Town, Prince Edward Island","1102046","Cottage",1
2020,"North Rustico, Town, Prince Edward Island","1102046","Duplex",2
2020,"North Rustico, Town, Prince Edward Island","1102046","Single",4
2020,"North Saanich, District municipality, British Columbia","5917005","Apartment",34
2020,"North Saanich, District municipality, British Columbia","5917005","Cottage",1
2020,"North Saanich, District municipality, British Columbia","5917005","Row",10
2020,"North Saanich, District municipality, British Columbia","5917005","Single",58
2020,"North Stormont, Township, Ontario","3501042","Duplex",4
2020,"North Stormont, Township, Ontario","3501042","Mobile",1
2020,"North Stormont, Township, Ontario","3501042","Row",12
2020,"North Stormont, Township, Ontario","3501042","Single",34
2020,"North Vancouver, City, British Columbia","5915051","Apartment",670
2020,"North Vancouver, City, British Columbia","5915051","Row",24
2020,"North Vancouver, City, British Columbia","5915051","Single",2
2020,"North Vancouver, District municipality, British Columbia","5915046","Apartment",754
2020,"North Vancouver, District municipality, British Columbia","5915046","Row",125
2020,"North Vancouver, District municipality, British Columbia","5915046","Single",22
2020,"Northampton, Parish, New Brunswick","1311008","Mobile",1
2020,"Northampton, Parish, New Brunswick","1311008","Single",3
2020,"Northeastern Manitoulin and the Islands, Municipality, Ontario","3551017","Apartment",5
2020,"Northeastern Manitoulin and the Islands, Municipality, Ontario","3551017","Cottage",5
2020,"Northeastern Manitoulin and the Islands, Municipality, Ontario","3551017","Single",18
2020,"Northern Arm, Town, Newfoundland and Labrador","1006015","Apartment",0
2020,"Northern Arm, Town, Newfoundland and Labrador","1006015","Single",0
2020,"Northern Bruce Peninsula, Municipality, Ontario","3541069","Apartment",2
2020,"Northern Bruce Peninsula, Municipality, Ontario","3541069","Cottage",53
2020,"Northern Bruce Peninsula, Municipality, Ontario","3541069","Row",4
2020,"Northern Bruce Peninsula, Municipality, Ontario","3541069","Single",27
2020,"Northern Lights County, Municipal district, Alberta","4817076","Single",3
2020,"Northern Rockies, Regional municipality, British Columbia","5959007","Mobile",2
2020,"Northern Rockies, Regional municipality, British Columbia","5959007","Single",0
2020,"Northern Sunrise County, Municipal district, Alberta","4817026","Apartment",1
2020,"Northern Sunrise County, Municipal district, Alberta","4817026","Single",3
2020,"Northfield, Parish, New Brunswick","1303018","Single",1
2020,"Northwest Territories","61","Apartment",27
2020,"Northwest Territories","61","Duplex",3
2020,"Northwest Territories","61","Mobile",4
2020,"Northwest Territories","61","Row",0
2020,"Northwest Territories","61","Single",46
2020,"Norton, Parish, New Brunswick","1305016","Cottage",1
2020,"Norton, Parish, New Brunswick","1305016","Mobile",1
2020,"Norton, Parish, New Brunswick","1305016","Single",1
2020,"Norton, Village, New Brunswick","1305018","Apartment",2
2020,"Norton, Village, New Brunswick","1305018","Mobile",1
2020,"Norton, Village, New Brunswick","1305018","Single",3
2020,"Norwich, Township, Ontario","3532002","Apartment",1
2020,"Norwich, Township, Ontario","3532002","Duplex",6
2020,"Norwich, Township, Ontario","3532002","Single",36
2020,"Notre-Dame-de-Lourdes, Municipalité, Quebec","2461045","Apartment",0
2020,"Notre-Dame-de-Lourdes, Municipalité, Quebec","2461045","Duplex",0
2020,"Notre-Dame-de-Lourdes, Municipalité, Quebec","2461045","Single",0
2020,"Notre-Dame-de-Montauban, Municipalité, Quebec","2435005","Cottage",7
2020,"Notre-Dame-de-Montauban, Municipalité, Quebec","2435005","Single",1
2020,"Notre-Dame-de-l'Île-Perrot, Ville, Quebec","2471065","Apartment",2
2020,"Notre-Dame-de-l'Île-Perrot, Ville, Quebec","2471065","Duplex",4
2020,"Notre-Dame-de-l'Île-Perrot, Ville, Quebec","2471065","Single",56
2020,"Notre-Dame-de-la-Merci, Municipalité, Quebec","2462055","Single",0
2020,"Notre-Dame-de-la-Salette, Municipalité, Quebec","2482010","Duplex",2
2020,"Notre-Dame-de-la-Salette, Municipalité, Quebec","2482010","Single",3
2020,"Notre-Dame-des-Bois, Municipalité, Quebec","2430010","Cottage",0
2020,"Notre-Dame-des-Bois, Municipalité, Quebec","2430010","Single",0
2020,"Notre-Dame-des-Pins, Paroisse (municipalité de), Quebec","2429120","Apartment",6
2020,"Notre-Dame-des-Pins, Paroisse (municipalité de), Quebec","2429120","Single",4
2020,"Notre-Dame-des-Prairies, Ville, Quebec","2461030","Apartment",0
2020,"Notre-Dame-des-Prairies, Ville, Quebec","2461030","Single",0
2020,"Notre-Dame-du-Bon-Conseil, Paroisse (municipalité de), Quebec","2449080","Single",1
2020,"Notre-Dame-du-Laus, Municipalité, Quebec","2479005","Apartment",0
2020,"Notre-Dame-du-Laus, Municipalité, Quebec","2479005","Cottage",0
2020,"Notre-Dame-du-Laus, Municipalité, Quebec","2479005","Single",0
2020,"Notre-Dame-du-Mont-Carmel, Paroisse (municipalité de), Quebec","2437235","Apartment",5
2020,"Notre-Dame-du-Mont-Carmel, Paroisse (municipalité de), Quebec","2437235","Duplex",4
2020,"Notre-Dame-du-Mont-Carmel, Paroisse (municipalité de), Quebec","2437235","Row",6
2020,"Notre-Dame-du-Mont-Carmel, Paroisse (municipalité de), Quebec","2437235","Single",29
2020,"Notre-Dame-du-Portage, Municipalité, Quebec","2412080","Single",5
2020,"Nouvelle, Municipalité, Quebec","2406020","Cottage",1
2020,"Nouvelle, Municipalité, Quebec","2406020","Single",7
2020,"Nova Scotia","12","Apartment",3268
2020,"Nova Scotia","12","Cottage",194
2020,"Nova Scotia","12","Duplex",179
2020,"Nova Scotia","12","Mobile",313
2020,"Nova Scotia","12","Row",152
2020,"Nova Scotia","12","Single",1963
2020,"Noyan, Municipalité, Quebec","2456015","Single",7
2020,"Nunavut","62","Apartment",5
2020,"Nunavut","62","Mobile",1
2020,"Nunavut","62","Single",4
2020,"O'Connor, Township, Ontario","3558016","Single",0
2020,"O'Leary, Town, Prince Edward Island","1103042","Apartment",7
2020,"O'Leary, Town, Prince Edward Island","1103042","Single",1
2020,"Oak Bay, District municipality, British Columbia","5917030","Apartment",0
2020,"Oak Bay, District municipality, British Columbia","5917030","Duplex",0
2020,"Oak Bay, District municipality, British Columbia","5917030","Row",0
2020,"Oak Bay, District municipality, British Columbia","5917030","Single",31
2020,"Oakland-Wawanesa, Municipality, Manitoba","4607046","Apartment",2
2020,"Oakland-Wawanesa, Municipality, Manitoba","4607046","Mobile",1
2020,"Oakland-Wawanesa, Municipality, Manitoba","4607046","Single",5
2020,"Oakview, Rural municipality, Manitoba","4615032","Single",8
2020,"Oakville, Town, Ontario","3524001","Apartment",1226
2020,"Oakville, Town, Ontario","3524001","Duplex",2
2020,"Oakville, Town, Ontario","3524001","Row",430
2020,"Oakville, Town, Ontario","3524001","Single",783
2020,"Oka, Municipalité, Quebec","2472032","Apartment",0
2020,"Oka, Municipalité, Quebec","2472032","Single",0
2020,"Okanagan-Similkameen A, Regional district electoral area, British Columbia","5907022","Apartment",21
2020,"Okanagan-Similkameen A, Regional district electoral area, British Columbia","5907022","Cottage",1
2020,"Okanagan-Similkameen A, Regional district electoral area, British Columbia","5907022","Mobile",8
2020,"Okanagan-Similkameen A, Regional district electoral area, British Columbia","5907022","Single",96
2020,"Okotoks, Town, Alberta","4806012","Apartment",66
2020,"Okotoks, Town, Alberta","4806012","Duplex",8
2020,"Okotoks, Town, Alberta","4806012","Row",6
2020,"Okotoks, Town, Alberta","4806012","Single",82
2020,"Olds, Town, Alberta","4806034","Duplex",6
2020,"Olds, Town, Alberta","4806034","Single",4
2020,"Oliver Paipoonge, Municipality, Ontario","3558011","Apartment",1
2020,"Oliver Paipoonge, Municipality, Ontario","3558011","Row",4
2020,"Oliver Paipoonge, Municipality, Ontario","3558011","Single",17
2020,"Oliver, Town, British Columbia","5907014","Apartment",1
2020,"Oliver, Town, British Columbia","5907014","Single",14
2020,"One Hundred Mile House, District municipality, British Columbia","5941005","Single",5
2020,"Ontario","35","Apartment",60741
2020,"Ontario","35","Cottage",618
2020,"Ontario","35","Duplex",3221
2020,"Ontario","35","Mobile",249
2020,"Ontario","35","Row",14452
2020,"Ontario","35","Single",25902
2020,"Opportunity No. 17, Municipal district, Alberta","4817031","Apartment",8
2020,"Opportunity No. 17, Municipal district, Alberta","4817031","Cottage",3
2020,"Opportunity No. 17, Municipal district, Alberta","4817031","Single",3
2020,"Orangeville, Town, Ontario","3522014","Apartment",21
2020,"Orangeville, Town, Ontario","3522014","Single",1
2020,"Orford, Canton (municipalité de), Quebec","2445115","Apartment",33
2020,"Orford, Canton (municipalité de), Quebec","2445115","Row",6
2020,"Orford, Canton (municipalité de), Quebec","2445115","Single",62
2020,"Orillia, City, Ontario","3543052","Apartment",279
2020,"Orillia, City, Ontario","3543052","Cottage",0
2020,"Orillia, City, Ontario","3543052","Duplex",2
2020,"Orillia, City, Ontario","3543052","Mobile",2
2020,"Orillia, City, Ontario","3543052","Row",40
2020,"Orillia, City, Ontario","3543052","Single",84
2020,"Ormstown, Municipalité, Quebec","2469037","Apartment",12
2020,"Ormstown, Municipalité, Quebec","2469037","Duplex",14
2020,"Ormstown, Municipalité, Quebec","2469037","Row",4
2020,"Ormstown, Municipalité, Quebec","2469037","Single",30
2020,"Oro-Medonte, Township, Ontario","3543023","Apartment",1
2020,"Oro-Medonte, Township, Ontario","3543023","Row",0
2020,"Oro-Medonte, Township, Ontario","3543023","Single",116
2020,"Oromocto, Town, New Brunswick","1303012","Apartment",44
2020,"Oromocto, Town, New Brunswick","1303012","Row",4
2020,"Oromocto, Town, New Brunswick","1303012","Single",14
2020,"Oshawa, City, Ontario","3518013","Apartment",1112
2020,"Oshawa, City, Ontario","3518013","Duplex",14
2020,"Oshawa, City, Ontario","3518013","Row",300
2020,"Oshawa, City, Ontario","3518013","Single",136
2020,"Osoyoos, Town, British Columbia","5907005","Apartment",6
2020,"Osoyoos, Town, British Columbia","5907005","Single",4
2020,"Otonabee-South Monaghan, Township, Ontario","3515005","Apartment",2
2020,"Otonabee-South Monaghan, Township, Ontario","3515005","Cottage",1
2020,"Otonabee-South Monaghan, Township, Ontario","3515005","Mobile",28
2020,"Otonabee-South Monaghan, Township, Ontario","3515005","Single",44
2020,"Ottawa, City, Ontario","3506008","Apartment",5617
2020,"Ottawa, City, Ontario","3506008","Cottage",0
2020,"Ottawa, City, Ontario","3506008","Duplex",236
2020,"Ottawa, City, Ontario","3506008","Mobile",2
2020,"Ottawa, City, Ontario","3506008","Row",3091
2020,"Ottawa, City, Ontario","3506008","Single",2501
2020,"Otterburn Park, Ville, Quebec","2457030","Apartment",0
2020,"Otterburn Park, Ville, Quebec","2457030","Single",0
2020,"Outlook, Town, Saskatchewan","4711027","Single",0
2020,"Owen Sound, City, Ontario","3542059","Apartment",69
2020,"Owen Sound, City, Ontario","3542059","Duplex",3
2020,"Owen Sound, City, Ontario","3542059","Row",10
2020,"Owen Sound, City, Ontario","3542059","Single",17
2020,"Oxford, Town, Nova Scotia","1211012","Single",0
2020,"Paddockwood No. 520, Rural municipality, Saskatchewan","4715099","Cottage",1
2020,"Paddockwood No. 520, Rural municipality, Saskatchewan","4715099","Mobile",1
2020,"Paddockwood No. 520, Rural municipality, Saskatchewan","4715099","Single",7
2020,"Paintearth County No. 18, Municipal district, Alberta","4807011","Apartment",1
2020,"Paintearth County No. 18, Municipal district, Alberta","4807011","Cottage",1
2020,"Paintearth County No. 18, Municipal district, Alberta","4807011","Mobile",1
2020,"Paintearth County No. 18, Municipal district, Alberta","4807011","Single",3
2020,"Papineau-Cameron, Township, Ontario","3548013","Cottage",1
2020,"Papineau-Cameron, Township, Ontario","3548013","Single",6
2020,"Papineauville, Municipalité, Quebec","2480037","Apartment",47
2020,"Papineauville, Municipalité, Quebec","2480037","Duplex",2
2020,"Papineauville, Municipalité, Quebec","2480037","Row",5
2020,"Papineauville, Municipalité, Quebec","2480037","Single",3
2020,"Paradise, Town, Newfoundland and Labrador","1001517","Apartment",21
2020,"Paradise, Town, Newfoundland and Labrador","1001517","Duplex",19
2020,"Paradise, Town, Newfoundland and Labrador","1001517","Row",3
2020,"Paradise, Town, Newfoundland and Labrador","1001517","Single",53
2020,"Parkers Cove, Town, Newfoundland and Labrador","1002034","Single",0
2020,"Parkland County, Municipal district, Alberta","4811034","Apartment",1
2020,"Parkland County, Municipal district, Alberta","4811034","Mobile",4
2020,"Parkland County, Municipal district, Alberta","4811034","Single",83
2020,"Parksville, City, British Columbia","5921018","Apartment",316
